Исходный массив:
a[465] = -30.9
a[466] = -36.5
a[467] = -92.9
a[468] = -30.2
a[469] = 92.1
a[470] = -66.3
a[471] = 53.8
a[472] = 10.2
a[473] = -77.9
a[474] = 35.7
a[475] = -47.1
a[476] = -25.4
a[477] = 14.1
a[478] = -54.3
a[479] = 19.2
a[480] = 49.5
a[481] = -22.5
a[482] = 37.1
a[483] = -37.4
a[484] = 28.9
a[485] = -52.8
a[486] = -32
a[487] = 58.7
a[488] = 74.7
a[489] = 85.3
a[490] = -3.5
a[491] = -88.3
a[492] = 48.1
a[493] = -78.6
a[494] = 82.2
a[495] = -63.6
a[496] = -61.1
a[497] = 23.5
a[498] = -55.8
a[499] = -33.3
a[500] = -91.9
a[501] = 31.4
a[502] = -65.2
a[503] = -80.1
a[504] = -55.2
a[505] = -6.6
a[506] = 24.8
a[507] = -50.6
a[508] = 53.8
a[509] = -61.9
a[510] = -40.6
a[511] = 11.7
a[512] = -99.3
a[513] = -75
a[514] = 80.3
a[515] = 85.2
a[516] = -46.6
a[517] = 52.5
a[518] = 22.3
a[519] = -36.7
a[520] = -75.4
a[521] = -32.7
a[522] = -93.5
a[523] = 60.5
a[524] = 1.5
a[525] = -93.9
a[526] = -11.7
a[527] = 27.1
a[528] = 69.3
a[529] = -63.2
a[530] = -19.8
a[531] = 65.3
a[532] = -59.2
a[533] = -70.6
a[534] = -89.8
a[535] = 64
a[536] = 44.1
a[537] = -48.9
a[538] = 9.2
a[539] = -30.6
a[540] = -39.9
a[541] = -10.5
a[542] = 38.7
a[543] = -62.3
a[544] = -15.1
a[545] = -27.7
a[546] = -72.1
a[547] = -16.9
a[548] = 9.8
a[549] = -36.1
a[550] = -70.3
a[551] = 93.4
a[552] = -56.5
a[553] = -41.7
a[554] = -58.6
a[555] = -47.1
a[556] = -57.6
a[557] = -3.8
a[558] = -51.1
a[559] = -6.1
a[560] = -47.8
a[561] = 25.6
a[562] = 15.2
a[563] = -84.7
a[564] = -51.4
a[565] = 87.9
a[566] = -2.7
a[567] = -82.8
a[568] = -43
a[569] = 19
a[570] = -87.8
a[571] = -13.2
a[572] = 64.6
a[573] = -0.6
a[574] = -90.2
a[575] = 37.7
a[576] = 25.2
a[577] = 18.3
a[578] = -98.4
a[579] = 11
a[580] = 2.9
a[581] = 34.7
a[582] = 24.4
a[583] = -59
a[584] = -76.9
a[585] = 76.9
a[586] = -35.1
a[587] = 67.7
a[588] = 29.3
a[589] = -39.2
a[590] = -75.7
a[591] = -50.1
a[592] = 16.6
a[593] = -28.5
a[594] = -76.8
a[595] = -86.7
a[596] = 10.9
a[597] = 61.6
a[598] = 51.6
a[599] = -92.3
a[600] = -56.6
a[601] = 10.5
a[602] = 37.3
a[603] = -40.3
a[604] = 12.1
a[605] = -99.2
a[606] = -83.2
a[607] = -27.6
a[608] = 6.8
a[609] = -22.8
a[610] = -47.1
a[611] = 82.1
a[612] = 37.2
a[613] = -54.4
a[614] = 57.9
a[615] = -5.4
a[616] = 17
a[617] = 56.2
a[618] = 70.5
a[619] = 16.9
a[620] = -55.8
a[621] = -53.1
a[622] = 67.7
a[623] = 4.5
a[624] = -21.4
a[625] = 45.9
a[626] = 33.9
a[627] = 14.4
a[628] = -17.9
a[629] = -43
a[630] = -4.1
a[631] = -15.4
a[632] = -24.9
a[633] = 3.8
a[634] = -31.4
a[635] = -95.7
a[636] = -52.5
a[637] = -70.6
a[638] = -2.9
a[639] = 99.8
a[640] = 1.2
a[641] = 77.6
a[642] = 64.5
a[643] = -82.1
a[644] = -58.9
a[645] = 54.7
a[646] = -50
a[647] = -11.3
a[648] = 90.3
a[649] = -80.8
a[650] = -92.4
a[651] = -28.9
a[652] = -6.1
a[653] = -46.1
a[654] = -75
a[655] = -11.9
a[656] = 90.4
a[657] = -15.2
a[658] = 7.3
a[659] = -18.2
a[660] = 90.1
a[661] = -66.5
a[662] = -78.4
a[663] = -57.4
a[664] = 85.9
a[665] = -58.3
a[666] = -4.4
a[667] = 21.1
a[668] = -10.9
a[669] = -51.9
a[670] = 80.5
a[671] = -77.1
a[672] = -58.2
a[673] = 38.3
a[674] = 49
a[675] = -76.2
a[676] = 42.8
a[677] = 97.1
a[678] = -36.6
a[679] = -21.3
a[680] = -5
a[681] = -45.6
a[682] = -93.7
a[683] = 60
a[684] = 8.7
a[685] = 58.3
a[686] = 35.4
a[687] = -97.9
a[688] = 66.3
a[689] = 64.5
a[690] = -90.9
a[691] = -62.4
a[692] = -12.7
a[693] = 52.9
a[694] = -36.8
a[695] = 98.2
a[696] = -4.3
a[697] = 57.5
a[698] = 88.6
a[699] = 93.3
a[700] = -95
a[701] = -78.3
a[702] = -60
a[703] = 16.4
a[704] = 48.6
a[705] = 92.7
a[706] = -75.4
a[707] = -61.1
a[708] = -6
a[709] = -89.5
a[710] = -46
a[711] = 91.9
a[712] = -55.3
a[713] = -85.7
a[714] = -48.4
a[715] = 96.4
a[716] = 43.7
a[717] = -86.2
a[718] = -69.1
a[719] = 94.4
a[720] = 7.3
a[721] = -99.2
a[722] = 35.1
a[723] = 87.8
a[724] = -49.5
a[725] = 53.6
a[726] = 72.7
a[727] = 88.4
a[728] = -38.2
a[729] = 23.6
a[730] = 73
a[731] = -62
a[732] = 37.1
a[733] = 68.4
a[734] = -33.2
a[735] = 76
a[736] = 78.6
a[737] = -35.9
a[738] = -84.5
a[739] = 10.5
a[740] = -4
a[741] = -89.8
a[742] = 95.1
a[743] = 0.4
a[744] = 64.6
a[745] = 16.6
a[746] = 59.2
a[747] = -98.4
a[748] = -21.6
a[749] = 76.8
a[750] = 86.7
a[751] = -66.7
a[752] = -23.9
a[753] = 49.8
a[754] = 36.9
a[755] = -3.5
a[756] = -19.5
a[757] = 1.9
a[758] = -55
a[759] = 71.6
a[760] = 52.7
a[761] = 78
a[762] = 79.5
a[763] = 81.8
a[764] = -98.3
a[765] = 32.7
a[766] = 70.1
a[767] = -31.7
a[768] = 25.2
a[769] = 90.7
a[770] = 75.4
a[771] = 69.7
a[772] = -0.8
a[773] = 63.5
a[774] = 28.6
a[775] = -1.5
a[776] = 17.1
a[777] = -56.4
a[778] = -74.5
a[779] = -69
a[780] = -59.3
a[781] = 80.8
a[782] = -54.3
a[783] = -66.1
a[784] = -53
a[785] = -93.5
a[786] = 21.5
a[787] = -38.5
a[788] = 27.3
a[789] = -8.5
a[790] = -81.7
a[791] = 52.4
a[792] = 24.2
a[793] = 97.7
a[794] = 70
a[795] = -41.8
a[796] = 64.2
a[797] = 12
a[798] = -48.6
a[799] = 31.3
a[800] = 43.5
a[801] = 0.7
a[802] = 14.2
a[803] = 6.3
a[804] = 28.5
a[805] = -9.9
a[806] = -11.2
a[807] = -49
a[808] = 0.7
a[809] = -56.9
a[810] = 2.1
a[811] = 48.4
a[812] = -41.3
a[813] = 11.7
a[814] = 93.8
a[815] = 31.9
a[816] = 6.1
a[817] = -93.1
a[818] = 76.2
a[819] = -85.7
a[820] = 65.4
a[821] = 18.2
a[822] = -25.9
a[823] = 81.1
a[824] = 93.1
a[825] = -25
a[826] = 36.1
a[827] = -14.3
a[828] = -10.7
a[829] = -69.1
a[830] = 31.1
a[831] = -26.1
a[832] = 75.6
a[833] = 11.8
a[834] = -77.9
a[835] = -6.5
a[836] = 57.7
a[837] = -13.2
a[838] = 3.6
a[839] = -30.9
a[840] = 26.2
a[841] = -48
a[842] = 96.1
a[843] = -74.4
a[844] = -91.3
a[845] = 8
a[846] = -40.3
a[847] = -15.7
a[848] = 26.2
a[849] = -74.1
a[850] = 93.9
a[851] = 20.4
a[852] = -82.2
a[853] = -19.7
a[854] = 86
a[855] = 79.5
a[856] = 88.4
a[857] = 92.6
a[858] = -24.7
a[859] = -9.1
a[860] = 16.2
a[861] = -8.8
a[862] = -53.2
a[863] = 26.1
a[864] = -74.8
a[865] = 31.7
a[866] = -80.4
a[867] = 13.2
a[868] = -15.3
a[869] = -46.6
a[870] = 93.2
a[871] = 35.1
a[872] = -9.5
a[873] = -52.7
a[874] = 70.2
a[875] = 19.1
a[876] = -7.7
a[877] = 35.2
a[878] = 65.7
a[879] = -30.8
a[880] = -83.1
a[881] = -71.2
a[882] = 98.2
a[883] = 28
a[884] = -92.3
a[885] = 3.2
a[886] = 70.9
a[887] = -59.8
a[888] = 75.7
a[889] = -78.4
a[890] = 15.4
a[891] = -41.1
a[892] = 82.9
a[893] = -77.6
a[894] = -95.4
a[895] = -61.1
a[896] = 7.8
a[897] = -67.1
a[898] = -17.1
a[899] = 80.8
a[900] = 7.1
a[901] = -8.7
a[902] = 71.4
a[903] = -48.2
a[904] = 53
a[905] = 96.2
a[906] = 42.4
a[907] = -32.1
a[908] = 34.3
a[909] = 86.2
a[910] = -98.6
a[911] = -89.1
a[912] = 99.8
a[913] = 70.7
a[914] = 17.5
a[915] = -80.7
a[916] = -93
a[917] = 65.1
a[918] = -10.9
a[919] = 2
a[920] = 82.3
a[921] = 49.5
a[922] = 64.7
a[923] = 83.7
a[924] = -48.2
a[925] = 6.2
a[926] = 53.2
a[927] = -15.4
a[928] = 75.4
a[929] = 28
a[930] = 93.7
a[931] = 20.4
a[932] = -78.8
a[933] = 5
a[934] = 19.4
a[935] = -56
a[936] = -66.1
a[937] = -45
a[938] = -63.6
a[939] = -4.4
a[940] = 34.3
a[941] = 6.4
a[942] = 24.9
a[943] = -45.6
a[944] = -42.9
a[945] = -28.9
a[946] = -63.5
a[947] = -14.3
a[948] = 36.7
a[949] = 96.1
a[950] = 93.4
a[951] = -50
a[952] = 72.3
a[953] = -22.2
a[954] = -88
a[955] = 42.3
a[956] = -90.7
a[957] = 26.3
a[958] = -15.6
a[959] = 81.6
a[960] = 41.7
a[961] = -81
a[962] = 13.6
a[963] = 89.8
a[964] = 73.2
a[965] = -99.5
a[966] = 61.9
a[967] = -67.9
a[968] = 65.8
a[969] = 45.9
a[970] = -94.1
a[971] = -16.6
a[972] = 66.1
a[973] = -6.7
a[974] = -88.4
a[975] = 66.4
a[976] = 9
a[977] = 64.9
a[978] = 44.7
a[979] = -98.8
a[980] = -7.7
a[981] = 3.7
a[982] = -95.2
a[983] = 90.1
a[984] = 96.4
a[985] = -77.3
a[986] = 51.7
a[987] = -54.1
a[988] = 66.4
a[989] = 69.1
a[990] = -92.1
a[991] = -55.8
a[992] = -67.6
a[993] = -1.9
a[994] = -89.5
a[995] = 5
a[996] = 7.5
a[997] = 36.9
a[998] = -59
a[999] = 32.6
a[1000] = 18

Номер минимального элемента: 206

Сумма элементов: 69.9

Массив после сортировки:
a[1] = 0.7
a[2] = 0.7
a[3] = -0.8
a[4] = 0.4
a[5] = -0.6
a[6] = -0.9
a[7] = -0.8
a[8] = 36.3
a[9] = -59.9
a[10] = -30.1
a[11] = -69.9
a[12] = -82.7
a[13] = 63.4
a[14] = 7.9
a[15] = -48.9
a[16] = 4.5
a[17] = 16.1
a[18] = 19
a[19] = -25
a[20] = -35.7
a[21] = -18.6
a[22] = -31.9
a[23] = 29.9
a[24] = -65.7
a[25] = 98.8
a[26] = 19
a[27] = -86.9
a[28] = 65.5
a[29] = -30.8
a[30] = 43.2
a[31] = 1.7
a[32] = 42.7
a[33] = -44.3
a[34] = -37.4
a[35] = -94.5
a[36] = 69
a[37] = -62.6
a[38] = 37.8
a[39] = 15.6
a[40] = -55.1
a[41] = 32
a[42] = -30.9
a[43] = -43.6
a[44] = -69.8
a[45] = 70
a[46] = 97.5
a[47] = 44.9
a[48] = 16.4
a[49] = -38
a[50] = -50.9
a[51] = 65.3
a[52] = 74.4
a[53] = -10.1
a[54] = 59.3
a[55] = -40.9
a[56] = -71
a[57] = 40.3
a[58] = 93
a[59] = 68.5
a[60] = -21.4
a[61] = -15.2
a[62] = -99.4
a[63] = 5.5
a[64] = -43.7
a[65] = -48.3
a[66] = 52.4
a[67] = -39.2
a[68] = 27.9
a[69] = -57.4
a[70] = -41.8
a[71] = 24.1
a[72] = -23
a[73] = -87.8
a[74] = -1.7
a[75] = 79
a[76] = 65.9
a[77] = -79.8
a[78] = 20
a[79] = -52.5
a[80] = -98.8
a[81] = 16.5
a[82] = -27.5
a[83] = -6.6
a[84] = 69.4
a[85] = 97.9
a[86] = 39.1
a[87] = -89
a[88] = -33.3
a[89] = -52.7
a[90] = -38
a[91] = 60
a[92] = -81.6
a[93] = 42.2
a[94] = -6.2
a[95] = -4.8
a[96] = -16.6
a[97] = 43.7
a[98] = -28.7
a[99] = 55.4
a[100] = -35.5
a[101] = 53.6
a[102] = -79.8
a[103] = 30
a[104] = 74
a[105] = -98.1
a[106] = 14.3
a[107] = -27
a[108] = -80.9
a[109] = -1.7
a[110] = 66.6
a[111] = 81
a[112] = 37.1
a[113] = -36.3
a[114] = -94.1
a[115] = 1.9
a[116] = -59.4
a[117] = -75.3
a[118] = -56.9
a[119] = -78.3
a[120] = -18.5
a[121] = 86.3
a[122] = 48.1
a[123] = 66.3
a[124] = 41.7
a[125] = -60.7
a[126] = 72.4
a[127] = -59.2
a[128] = -91.9
a[129] = 22.5
a[130] = -36.1
a[131] = 73.3
a[132] = 69.9
a[133] = -59.1
a[134] = -43.6
a[135] = 5.4
a[136] = 63.4
a[137] = 36.5
a[138] = 78.8
a[139] = 96.4
a[140] = -40.9
a[141] = -84
a[142] = 45.4
a[143] = 87.9
a[144] = -11.2
a[145] = -97.8
a[146] = -78
a[147] = -33.3
a[148] = 29
a[149] = -7.7
a[150] = -99.7
a[151] = -25.7
a[152] = 19.3
a[153] = 87.1
a[154] = 78.1
a[155] = -25
a[156] = -20.6
a[157] = -23.5
a[158] = -96.4
a[159] = 58.1
a[160] = -98.5
a[161] = 94.4
a[162] = -94.1
a[163] = 7.7
a[164] = -41
a[165] = -97.7
a[166] = -33.4
a[167] = -81.5
a[168] = 84.6
a[169] = -83.5
a[170] = 58.9
a[171] = 16.2
a[172] = -71.1
a[173] = 62.4
a[174] = 33.5
a[175] = -42.5
a[176] = -16.7
a[177] = 20.8
a[178] = 49.2
a[179] = 97.5
a[180] = 99.5
a[181] = 49.4
a[182] = -67.7
a[183] = -3.1
a[184] = 63.2
a[185] = -54.6
a[186] = -90.5
a[187] = -42.6
a[188] = 62.3
a[189] = -43.6
a[190] = -26.4
a[191] = 84.1
a[192] = -54.1
a[193] = -44.4
a[194] = -22
a[195] = -90.4
a[196] = 71.9
a[197] = 13.2
a[198] = 19.2
a[199] = 33.3
a[200] = 63.7
a[201] = -17.7
a[202] = -47.3
a[203] = 32.7
a[204] = 46.1
a[205] = 3.9
a[206] = -100
a[207] = 49.8
a[208] = 9.2
a[209] = -52.5
a[210] = 20.6
a[211] = 37.3
a[212] = 40.9
a[213] = -52.8
a[214] = 78.7
a[215] = 64.3
a[216] = -17.6
a[217] = 46.5
a[218] = -69.6
a[219] = -6.8
a[220] = 69.6
a[221] = -15.7
a[222] = 35.4
a[223] = 77.1
a[224] = -39.2
a[225] = 66.7
a[226] = 16.3
a[227] = -60.6
a[228] = -28.1
a[229] = -24.2
a[230] = -49.6
a[231] = 85.3
a[232] = -36.3
a[233] = -35.9
a[234] = -61.7
a[235] = -45
a[236] = 77.4
a[237] = -91
a[238] = 32.8
a[239] = -79
a[240] = 91.3
a[241] = 75.9
a[242] = 50.2
a[243] = -11.8
a[244] = 91.7
a[245] = -10.1
a[246] = 97.2
a[247] = -27.4
a[248] = 33.4
a[249] = -84.7
a[250] = -65.5
a[251] = 95.7
a[252] = 80.2
a[253] = 17.7
a[254] = 85.8
a[255] = 16.2
a[256] = -22.8
a[257] = -21.8
a[258] = 62.4
a[259] = -9.5
a[260] = 97.2
a[261] = 70.3
a[262] = -61
a[263] = 55.8
a[264] = -65.8
a[265] = -18.2
a[266] = -75.6
a[267] = 50.8
a[268] = 63.5
a[269] = 24.3
a[270] = 37.3
a[271] = 98.6
a[272] = -83.5
a[273] = -86.2
a[274] = 7.6
a[275] = 85.4
a[276] = -85.5
a[277] = -41.8
a[278] = 13.2
a[279] = -36.2
a[280] = -91
a[281] = -57.9
a[282] = -54.8
a[283] = 11.6
a[284] = 97.1
a[285] = -59.2
a[286] = -60.9
a[287] = -73.1
a[288] = -12.3
a[289] = 56.3
a[290] = 88.8
a[291] = -9.7
a[292] = -90.4
a[293] = 3.7
a[294] = 82.6
a[295] = -27.9
a[296] = 11.3
a[297] = 95.3
a[298] = 25.3
a[299] = 21.1
a[300] = -80.6
a[301] = 72.9
a[302] = -63.3
a[303] = 30.5
a[304] = -66.3
a[305] = 59.6
a[306] = 92.8
a[307] = 22.9
a[308] = -28.7
a[309] = -39.2
a[310] = 95.6
a[311] = -24.5
a[312] = 88.9
a[313] = 56.4
a[314] = 17.5
a[315] = -78.3
a[316] = -52.7
a[317] = -8.6
a[318] = -22.2
a[319] = 80.4
a[320] = -28
a[321] = -94.4
a[322] = -76.9
a[323] = 28.7
a[324] = 21.1
a[325] = 60.7
a[326] = -54.3
a[327] = 58.2
a[328] = 43.3
a[329] = 29.2
a[330] = -64.6
a[331] = -74.1
a[332] = -90.2
a[333] = 5.4
a[334] = -77.5
a[335] = -88.4
a[336] = -21.9
a[337] = -49.4
a[338] = 86
a[339] = 53.4
a[340] = -2.2
a[341] = -92.2
a[342] = -94.3
a[343] = 42.3
a[344] = 14.3
a[345] = -22.2
a[346] = 36
a[347] = 14.9
a[348] = 7.7
a[349] = -66.6
a[350] = 2.3
a[351] = 94.6
a[352] = -54
a[353] = -53.2
a[354] = -26.8
a[355] = -88.2
a[356] = -33.1
a[357] = -47
a[358] = -63.3
a[359] = -16.5
a[360] = 89.6
a[361] = -76.7
a[362] = 80.1
a[363] = 33.7
a[364] = -27
a[365] = -24.7
a[366] = -45.7
a[367] = 7.3
a[368] = -3.3
a[369] = -85.3
a[370] = -27.1
a[371] = -87
a[372] = 79.4
a[373] = -11.9
a[374] = 23.2
a[375] = -56
a[376] = -11.5
a[377] = -84.1
a[378] = 90.9
a[379] = -85.9
a[380] = -21.4
a[381] = 59.1
a[382] = 56.1
a[383] = -67.4
a[384] = 37.8
a[385] = -60.4
a[386] = -72.1
a[387] = -94
a[388] = 31.9
a[389] = 95.2
a[390] = -43.5
a[391] = 63.8
a[392] = 71.9
a[393] = 31.8
a[394] = 14.6
a[395] = 96.3
a[396] = -78.2
a[397] = 62.8
a[398] = 84.5
a[399] = 79.4
a[400] = 98.2
a[401] = -55.7
a[402] = 70.4
a[403] = -53.4
a[404] = -24.5
a[405] = -8.4
a[406] = -79.8
a[407] = 7.3
a[408] = -48.8
a[409] = -5.1
a[410] = 3.2
a[411] = -24.5
a[412] = -15.1
a[413] = 12
a[414] = 50.3
a[415] = -20.4
a[416] = 37
a[417] = -15.6
a[418] = 56.3
a[419] = 43.6
a[420] = -74.8
a[421] = 78.5
